Question Number,Lesson,Question,Choice A,Choice B,Choice C,Choice D,Correct Answer
34,Lesson 6: Strings,"This code has an error. What's the correct way to capitalize the first letter of ""john"" to ""John""?
name = ""john""
name[0] = ""J""  # Error!","name = ""J"" + name[1:]",name[0] = name[0].upper(),"name.replace(0, ""J"")","name.change(0, ""J"")",A
35,Lesson 6: Strings,"What does this code print?
message = ""Python Programming""
print(message.find(""Pro""))",7,6,Programming,-1,A
36,Lesson 6: Strings,What is slicing in Python strings?,Extracting a portion of a string using [start:end] notation,Dividing a string by a delimiter,Removing characters from a string,Converting a string to a list,A
37,Lesson 7: Formatted Strings,What is a Formatted String (f-string)?,A string prefixed with f that allows embedding expressions inside curly braces,A string that has been formatted with the format() method,A string that contains only numbers,A string that is aligned to the left or right,A
38,Lesson 7: Formatted Strings,Which code correctly creates an f-string to display a player's name and jersey number?,"message = f""Player {name} wears jersey #{number}""","message = ""Player {name} wears jersey #{number}""","message = f""Player "" + name + "" wears jersey #"" + number","message = ""Player $name wears jersey #$number""",A
39,Lesson 7: Formatted Strings,"What will this code output?
name = ""LEBRON""
print(name.lower())",lebron,LEBRON,Lebron,LeBron,A
40,Lesson 7: Formatted Strings,"What will this code output?
title = ""nba finals""
print(title.title())",Nba Finals,nba finals,NBA FINALS,NBA Finals,A
41,Lesson 7: Formatted Strings,Which code correctly removes leading and trailing spaces from a team name?,"team = ""  Warriors  ""; clean_team = team.strip()","team = ""  Warriors  ""; clean_team = team.trim()","team = ""  Warriors  ""; clean_team = team.remove_spaces()","team = ""  Warriors  ""; clean_team = team.clean()",A
42,Lesson 7: Formatted Strings,"What is wrong with this code?
player = ""Durant""
position = ""Forward""
print(""Player {player} plays {position}"")",Missing the f prefix before the string,Variables should use $ instead of {},The print statement is incorrect,The code is correct as written,A
43,Lesson 7: Formatted Strings,"What will this code output?
text = ""basketball""
result = text.find(""ball"")
print(result)",6,4,True,-1,A
44,Lesson 7: Formatted Strings,"Which code correctly replaces ""win"" with ""victory"" in the message?","message = ""Team will win""; new_message = message.replace(""win"", ""victory"")","message = ""Team will win""; message.replace(""win"", ""victory"")","message = ""Team will win""; new_message = message.swap(""win"", ""victory"")","message = ""Team will win""; message = replace(message, ""win"", ""victory"")",A
45,Lesson 7: Formatted Strings,What happens when you call a string method like .upper() on a string?,It returns a new string; the original string is unchanged,It modifies the original string permanently,It only works if you assign it back to the same variable,It creates an error because strings cannot be modified,A
46,Lesson 7: Formatted Strings,What is the main advantage of f-strings over string concatenation?,Code is more readable and easier to visualize the output,F-strings are faster to execute,"F-strings can include variables, concatenation cannot",F-strings automatically convert numbers to strings,A
47,Comprehensive Review,"What is the correct complete code to get a user's age and calculate birth year?
age = ?
birth_year = 2024 - age
print(birth_year)","age = input(""Age: "")","age = int(input(""Age: ""))","age = ""20""","age = float(input(""Age: ""))",B
48,Comprehensive Review,"What will this code display?
name = ""  john  ""
clean = name.strip().title()
print(""Hello "" + clean)",Hello   john  ,Hello John,Hello john,Hello JOHN,B
49,Comprehensive Review,Which line of code will cause an error?,price = 19.99,"name = ""Python""",is_valid = True,"age = 25 + ""5""",D
50,Comprehensive Review,"Which is the BEST way to display ""Score: 95"" where score is a variable?","print(""Score: "" + score)","print(f""Score: {score}"")","print(""Score: "", score)","print(""Score: "" + str(score))",B
